,id,주류,중분류,주류명,생산국가,생산자/제조사,포도품종,주원료,용량,도수,음용온도,추천음식,특징,당도,바디,산도,타닌,맛
19,20,와인,레드,"델리카토, 667 피노 누아",미국,델리카토 패밀리 빈야드 Delicato Family Vineyards - DFV,피노 누아 (Pinot Noir) 100%,,750,14.5,16~18 ℃,"연어, 파마산 치즈 및 구운 양고기와 잘 어울린다.",,1.0,3.0,4.0,3.0,바디 산도 타닌 
20,21,와인,스파클링,"도넬리 비니, 볼리치노 스파클링 레드와인",이탈리아,도넬리 비니 Donelli Vini S.P.A.,"산지오베제 (Sangiovese) , 람브루스코 (Lambrusco)",,750,10.0,8~10 ℃,None,,2.0,0.0,2.0,2.0,당도 산도 타닌 
21,22,와인,레드,도마네 고벨스버그 츠바이겔트,오스트리아,슐로스 고벨스버그 Schloss Gobelsburg,츠바이겔트 (Zweigelt) 100%,,750,12.5,15~17 ℃,"중국요리, 간편한 육류요리, 약간 스파이시한 한식, 볶음요리 등과 잘 어울린다.",,2.0,5.0,2.0,2.0,당도 바디 산도 타닌 
22,23,와인,화이트,"도멘 갸데, 레 뻬리에르 모노폴",프랑스,도멘 갸데 Domaine Gadias,믈롱 드 부르고뉴 (Melon de Bourgogne) 100%,,750,12.0,8~10 ℃,"스시, 회, 굴, 조개, 해산물, 생선구이, 조개구이, 조개찜, 숙성 치즈 등과 잘 어울린다.",,2.0,4.0,3.0,1.0,당도 바디 산도 
23,24,와인,화이트,"도멘 그로 프레르 에 수르, 부르고뉴 오뜨 꼬뜨 드 뉘 블랑",프랑스,도멘 그로 프레르 에 수르 Domaine Gros Frere et Soeur,샤르도네 (Chardonnay) 100%,,750,13.5,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1.0,5.0,3.0,1.0,바디 산도 
24,25,와인,레드,"도멘 드 까밀 지로, 부르고뉴 피노 누아",프랑스,도멘 드 까밀 지로 Domaine de Camille Giroud,피노 누아 (Pinot Noir) 100%,,750,13.0,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1.0,5.0,2.0,2.0,바디 산도 타닌 
25,26,와인,레드,"도멘 라퐁드 노틀담, 라스토",프랑스,도멘 라퐁 드 노틀담 Domaine La Font de Notre Dame,"그르나슈 (Grenache) , 시라/쉬라즈 (Syrah/Shiraz) , 무르베드르 (Mourvedre) , 쌩쏘 (Cinsault)",,750,14.0,16~18 ℃,"소고기, 스테이크, 불고기, 양꼬치, 족발, 한국음식, 피자, 햄버거 등과 잘 어울린다.",,1.0,3.0,3.0,3.0,바디 산도 타닌 
26,27,와인,레드,도멘 로베르 시뤼귀에 부르고뉴,프랑스,도멘 로베르 시뤼귀에 Domaine Robert Sirugue,피노 누아 (Pinot Noir) 100%,,750,13.0,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 콩테, 다양한 치즈와 잘 어울린다.",,1.0,4.0,2.0,2.0,바디 산도 타닌 
27,28,와인,화이트,"도멘 루 페레 에 피스, 생-토뱅 자디",프랑스,도멘 루 페레 에 피스 Domaine Roux Pere & Fils,샤르도네 (Chardonnay) 100%,,750,13.0,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1.0,3.0,3.0,1.0,바디 산도 
28,29,와인,레드,"도멘 마샹 프레르, 샹볼 뮈지니 프리미에르 크뤼 레 성띠에",프랑스,도멘 마샹 프레르 Domaine Marchand Freres,피노 누아 (Pinot Noir) 100%,,750,13.0,15~17 ℃,"가금류, 치즈",,1.0,4.0,3.0,2.0,바디 산도 타닌 
29,30,와인,화이트,"도멘 뮈르뮈리움, 루싼느",프랑스,도멘 뮈르뮈리움 Domaine Mur-Mur-Ium,루산느 (Roussanne) 100%,,750,14.0,11~13 ℃,"돼지고기, 바비큐, 참치, 연어, 치킨, 다양한 치즈, 하몽, 프로슈토, 살라미, 파스타 등과 잘 어울린다.",,1.0,3.0,3.0,1.0,바디 산도 
30,31,와인,레드,"도멘 미쉘 그로, 본 로마네 프르미에 크뤼 '끌로 드 레아' 모노폴",프랑스,도멘 미쉘 그로 Domaine Michel Gros,피노 누아 (Pinot Noir) 100%,,750,13.0,14~16 ℃,"가금류요리, 붉은 생선, 프와그라, 부드러운 치즈등과 잘 어울린다.",,1.0,3.0,3.0,4.0,바디 산도 타닌 
31,32,와인,레드,"도멘 자끄 까슈, 부르고뉴 후제 오 꼬뜨 드 뉘",프랑스,도멘 자끄 까슈 Domaine Jacques Cacheux,피노 누아 (Pinot Noir) 100%,,750,12.5,18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1.0,5.0,2.0,2.0,바디 산도 타닌 
32,33,와인,레드,도멘 페르드리 에세조 그랑 크뤼,프랑스,도메인 페르드리 Domaine Perdrix,피노 누아 (Pinot Noir),,750,12.5,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,1.0,4.0,3.0,3.0,바디 산도 타닌 
33,34,와인,화이트,두게싸 리아 모스카토 다스티,이탈리아,카페타 [프란체스코 카페타 - 발비 소프라니] Capetta [Francesco Capetta - Balbi Soprani],모스카토 (Moscato ) 100%,,750,5.0,6~8 ℃,"부드러운 치즈와 커피향이 일품인 티라미수 케이크나 달콤한 과일, 특히 망고나 멜론과 같은 여름과일과 환상적인 여운을 남긴다.",,4.0,2.0,2.0,1.0,당도 바디 산도 
34,35,와인,레드,"뚜아 리따, 레디가피",이탈리아,투아 리따 Tua Rita,메를로 (Merlot) 100%,,750,15.0,16~18 ℃,"대부분의 파스타, 햄, 소시지, 치즈, 붉은 육류, 흰살 육류 등과 잘 어울린다.",,1.0,4.0,4.0,4.0,바디 산도 타닌 
35,36,와인,레드,"라 셰또, 장 발몽 메를로",프랑스,라셰또 [라세또] Lacheteau [La Cheteau],메를로 (Merlot) 100%,,750,13.0,16~18 ℃,"안심 스테이크, 타임 허브 등으로 맛을 낸 토끼요리, 송아지 찜 요리, 치즈 등과 잘 어울린다.",,1.0,3.0,4.0,3.0,바디 산도 타닌 
36,37,와인,레드,라몬 빌바오 그랑 리제르바,스페인,라몬 빌바오 Ramon Bilbao,"템프라니요 (Tempranillo) 90%, 그라시아노 (Graciano) 5%, 가르나차 (Garnacha) 5%",,750,14.0,16~18 ℃,"붉은 고기, 숙성 치즈, 바비큐, 야생 고기 등과 잘 어울린다.",,1.0,3.0,4.0,3.0,바디 산도 타닌 
37,38,와인,화이트,"라스트 스탠드, 샤도네이",호주,더 라스트 스탠드 와와너리 The last stand Winery,샤르도네 (Chardonnay),,750,13.0,8~10 ℃,"가금류, 오리로스, 치킨, 장어구이, 해산물, 숙성 치즈, 오일파스타 등과 잘 어울린다.",,1.0,3.0,3.0,1.0,바디 산도 
38,39,와인,레드,"라스트 스탠드, 쉬라즈",호주,더 라스트 스탠드 와와너리 The last stand Winery,시라/쉬라즈 (Syrah/Shiraz),,750,14.0,16~18 ℃,"소고기, 스테이크, 갈비찜, 양념갈비, 양갈비, 라자냐, 스튜, 크림파스타, 숙성 치즈 등과 잘 어울린다.",,1.0,3.0,4.0,4.0,바디 산도 타닌 
39,40,와인,레드,"라운드 폰드, 러더포드 카베르네 소비뇽",미국,라운드 폰드 에스테이트 Round Pond Estate,"카베르네 소비뇽 (Cabernet Sauvignon) , 쁘띠 베르도 (Petit Verdot) , 말벡 (Malbec) , 메를로 (Merlot)",,750,14.6,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1.0,3.0,4.0,3.0,바디 산도 타닌 
40,41,와인,화이트,"로까 세리나, 모스카토 다스티",이탈리아,로카 세리나 Rocca Cerrina,모스카토 (Moscato ) 100%,,750,6.0,8~10 ℃,식후에 디저트와 함께 또는 과일(특히 과일 셀러드)과 완벽한 조화를 이룸. 또한 아이스크림 또는 친구들과 대화의 매개체로서 안주 없이 와인 그 자체만 마셔도 좋다.,,4.0,2.0,2.0,1.0,당도 바디 산도 
41,42,와인,레드,"로멘 뒤베르네, 꼬드 뒤 론 비에이 비뉴",프랑스,로멘 뒤베르네 Romain Duvernay,"그르나슈 (Grenache) 85%, 시라/쉬라즈 (Syrah/Shiraz) 15%",,750,13.5,16~18 ℃,"안심 스테이크, 바비큐 폭립, 송아지와 폴렌타, 통감자 구이와 잘 어울린다.",,1.0,2.0,4.0,4.0,바디 산도 타닌 
42,43,와인,레드,"루이 라뚜르, 알록스 꼬르똥",프랑스,루이 라뚜르 Louis Latour,피노 누아 (Pinot Noir) 100%,,750,13.5,15~17 ℃,"각종 육류요리, 버섯요리, 양고기 등과 잘 어울린다.",,1.0,5.0,3.0,2.0,바디 산도 타닌 
43,44,와인,레드,"루트 코즈, 레드 와인",미국,루트 코즈 와이너리 Root Cause Winery,"메를로 (Merlot) , 진판델 (Zinfandel) , 쁘띠 베르도 (Petit Verdot) , 시라/쉬라즈 (Syrah/Shiraz)",,750,13.0,16~18 ℃,None,,1.0,3.0,4.0,4.0,바디 산도 타닌 
44,45,와인,화이트,"루트 코즈, 샤도네이",미국,루트 코즈 와이너리 Root Cause Winery,샤르도네 (Chardonnay),,750,13.0,10~12 ℃,None,,1.0,3.0,3.0,1.0,바디 산도 
45,46,와인,레드,"루트 코즈, 카베르네 소비뇽",미국,루트 코즈 와이너리 Root Cause Winery,카베르네 소비뇽 (Cabernet Sauvignon),,750,13.0,16~18 ℃,None,,1.0,3.0,4.0,3.0,바디 산도 타닌 
46,47,와인,스파클링,"뤼나르, 브뤼",프랑스,뤼나르 Ruinart,"피노 누아 (Pinot Noir) , 샤르도네 (Chardonnay) , 피노 뮈니에 (Pinot Meunier)",,750,12.0,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,1.0,5.0,3.0,1.0,바디 산도 
47,48,와인,레드,"르네 부비에, 부르고뉴 루즈 '몽트르 뀔'",프랑스,르네 부비에 Domaine Rene Bouvier,피노 누아 (Pinot Noir) 100%,,750,12.5,15~17 ℃,"붉은육류, 로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1.0,4.0,3.0,3.0,바디 산도 타닌 
48,49,와인,레드,"리베토, 바롤로 세라룽가 달바",이탈리아,리베토 Rivetto,네비올로 (Nebbiolo) 100%,,750,14.5,16~18 ℃,"트러플, 양갈비, 스튜, 그릴요리, 바비큐, 포크, 버섯, 프로슈토, 라자냐, 이탈리안 음식과 잘 어울린다.",,1.0,4.0,4.0,4.0,바디 산도 타닌 
49,50,와인,기타,"리빙스톤, 상그리아",미국,리빙스톤 Livingstone,블렌드 (Blend ),,750,10.0,6~8 ℃,파티에서의 바비큐 요리와 강한 소스를 감미한 해산물 요리와 완벽한 조화를 이룬다.,,3.0,2.0,2.0,1.0,당도 바디 산도 
50,51,와인,레드,"마라미에로, 인페리",이탈리아,마라미에로 Marramiero,몬테풀치아노 (Montepulciano) 100%,,750,14.0,17~19 ℃,"마늘과 올리브로 요리한 양고기, 허브가 가미된 리코타 라비올리 등과 잘 어울린다.",,1.0,3.0,4.0,4.0,바디 산도 타닌 
51,52,와인,화이트,마레농 그랑 마레농 블랑,프랑스,마레농 Marrenon [Cellier de Marrenon],"그르나슈 블랑 (Grenache Blanc) , 베르멘티노 (Vermentino) , 루산느 (Roussanne)",,750,14.0,10~12 ℃,"치킨, 바비큐, 연어, 참치, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",,1.0,3.0,3.0,1.0,바디 산도 
52,53,와인,레드,"마샹 따스, 뽀마르 레 비노",프랑스,막상 따스 Marchand Tawse,피노 누아 (Pinot Noir),,750,13.0,14~16 ℃,"오리고기, 치즈 등과 잘 어울린다.",,1.0,4.0,3.0,3.0,바디 산도 타닌 
53,54,와인,레드,"마이클 몬다비 패밀리, 엠블렘 나파 카베르네 소비뇽",미국,마이클 몬다비 패밀리 Michael Mondavi Family,"카베르네 소비뇽 (Cabernet Sauvignon) 90%, 쁘띠 베르도 (Petit Verdot) 5%, 쁘띠 쉬라 (Petit Syrah) 5%",,750,14.0,16~18 ℃,"그릴에 구운 채끝 스테이크, 라구 파스타 등과 잘 어울린다.",,1.0,3.0,4.0,5.0,바디 산도 타닌 
54,55,와인,레드,"막상 따스, 본 로마네",프랑스,막상 따스 Marchand Tawse,피노 누아 (Pinot Noir) 100%,,750,13.5,14~16 ℃,"오리고기, 치즈 등과 잘 어울린다.",,1.0,4.0,3.0,2.0,바디 산도 타닌 
55,56,와인,레드,"맥매니스, 노스 포티 레드 블렌드",미국,맥매니스 와이너리 McManis Winery,"쁘띠 시라 (Petite Sirah) 27%, 쁘띠 베르도 (Petit Verdot) 25%, 테롤데고 (Teroldego) 25%, 따나 (Tannat) 23%",,750,13.0,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 한국음식 등과 잘 어울린다.",,1.0,3.0,3.0,4.0,바디 산도 타닌 
56,57,와인,화이트,"메르 솔레이, 리저브 샤도네이",미국,케이머스 빈야드 Caymus Vineyards,샤르도네 (Chardonnay) 100%,,750,14.5,10~12 ℃,"연어 스테이크, 도가니탕, 떡국, 피자 등과 잘 어울린다.",,1.0,3.0,4.0,1.0,바디 산도 
57,58,와인,화이트,"메종 카스텔, 세리 리미떼 꽁드리유",프랑스,메종 카스텔 Maison Castel,비오니에 (Viognier) 100%,,750,14.0,8~10 ℃,적양파를 곁들인 양고기로 만든 스튜인 타진 요리 외 샤퀴트리 또는 그릴 고기 요리와 잘 어울린다.,,1.0,3.0,1.0,1.0,바디 
58,59,와인,스파클링,"메종 카스텔, 크레망 드 보르도 브뤼",프랑스,메종 카스텔 Maison Castel,"세미용 (Semillon) , 카베르네 프랑 (Cabernet Franc)",,750,5.0,6~8 ℃,"생강 쿠키를 곁들인 푸아그라 요리, 가금류 요리, 백색육어류 요리와 잘 어울린다.",,1.0,3.0,1.0,1.0,바디 
59,60,와인,로제,"모란데, 피오네로 로제",칠레,비냐 모란데 Viña Morande,"카베르네 소비뇽 (Cabernet Sauvignon) , 시라/쉬라즈 (Syrah/Shiraz)",,750,12.0,11~13 ℃,"비빔밥, 피자, 돼지고기 요리나 매콤한 아시아 푸드와도 잘 어울린다.",,2.0,3.0,3.0,1.0,당도 바디 산도 
60,61,와인,레드,"몰리두커, 벨벳 글로브",호주,몰리두커 Mollydooker,시라/쉬라즈 (Syrah/Shiraz) 100%,,750,16.5,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 버섯, 숙성치즈, 한국음식 과 잘 어울린다.",,1.0,4.0,5.0,5.0,바디 산도 타닌 
61,62,와인,레드,무쏘 메를로,스페인,카사 로호 Casa Rojo,메를로 (Merlot) 100%,,750,13.0,16~18 ℃,"돼지고기, 소고기, 스튜, 비프버거 등과 잘 어울린다.",,1.0,3.0,4.0,3.0,바디 산도 타닌 
62,63,와인,레드,뮤리엘 그랑 리제르바,스페인,뮤리엘 그룹 Muriel Group,템프라니요 (Tempranillo) 100%,,750,13.0,16~18 ℃,"로스트 스테이크(소고기, 돼지고기, 양고기), 스모크 치즈, 다크 초콜릿 디저트 등고 잘 어울린다.",,1.0,3.0,5.0,3.0,바디 산도 타닌 
63,64,와인,레드,"미션 드 렝고, 뀌베 카베르네 소비뇽",칠레,미션 드 랭고 Vina Misiones de Rengo,"카베르네 소비뇽 (Cabernet Sauvignon) 85%, 시라/쉬라즈 (Syrah/Shiraz) 10%, 카르메네르 (Carmenere) 5%",,750,14.4,15~17 ℃,"쇠고기 엠파나다, 양고기,돼지고기, 강한 풍미의 치즈 및 야생 조류 요리. 다랑어, 연어 등의 기름이 많은 생선류. 로즈마리를 곁들인 렌즈콩 요리, 꼬냑 소스를 겸비한 닭고기 요리 등에 잘 어울린다.",,1.0,3.0,4.0,4.0,바디 산도 타닌 
64,65,와인,화이트,"미션, 레이트 하비스트",뉴질랜드,미션 에스테이트 와이너리 Mission Estate Winery,"샤르도네 (Chardonnay) , 리슬링 (Riesling) , 게뷔르츠트라미너 (Gewurztraminer)",,750,11.0,6~8 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",,5.0,1.0,3.0,1.0,당도 산도 
65,66,와인,화이트,"미션, 리슬링",뉴질랜드,미션 에스테이트 와이너리 Mission Estate Winery,리슬링 (Riesling) 100%,,750,11.0,8~10 ℃,"베이컨, 꼬치구이, 해산물, 양념치킨, 하몽, 살라미, 아시아요리, 매운음식, 동남아요리등과 잘 어울린다.",,1.0,5.0,2.0,1.0,바디 산도 
66,67,와인,레드,미셸 롤랑 샤또 베르티노 생 뱅상,프랑스,미쉘 롤랑 컬렉션 Michel Rolland Collection,"메를로 (Merlot) 75%, 카베르네 프랑 (Cabernet Franc) 25%",,750,13.0,16~18 ℃,"갈비찜, 불고기, 피자, 파스타, 치즈 등과 잘 어울린다.",,1.0,4.0,5.0,4.0,바디 산도 타닌 
67,68,와인,레드,"미켈레 끼아를로, 바르베라 다스티 레 오르메",이탈리아,미켈레 끼아를로 Michele Chiarlo,바르베라 (Barbera) 100%,,750,13.0,16~18 ℃,"피자, 파스타, 치즈 이 외에도 모든 음식들과 잘 어울린다.",,1.0,4.0,3.0,3.0,바디 산도 타닌 
68,69,와인,레드,"바네사, 까베르네 쇼비뇽",칠레,비냐 프란시스코 드 아귀레 Vina Francisco de Aguirre,카베르네 소비뇽 (Cabernet Sauvignon) 100%,,750,10.0,11~13 ℃,"고기, 너츠와 잘 어울리며 디저트 혹은 애피타이저 와인으로 손색이 없다.",,1.0,3.0,3.0,3.0,바디 산도 타닌 
69,70,와인,레드,"바디아 아 콜티부오노, 키안티 클라시코 리제르바",이탈리아,바디아 아 콜티부오노 Badia a Coltibuono,"산지오베제 (Sangiovese) 90%, 기타 품종 (Other Grapes) 10%",,750,13.0,16~18 ℃,"고급 안심, 등심 스테이크, 그릴에 구운 야채, 바비큐요리, 숙성된 치즈등과 잘 어울린다.",,1.0,4.0,4.0,4.0,바디 산도 타닌 
70,71,와인,화이트,"바론 데 발스, 화이트",스페인,비센테 간디아 Vicente Gandia,마카베오 (Macabeo),,750,11.0,8~10 ℃,None,,2.0,4.0,2.0,1.0,당도 바디 산도 
71,72,와인,화이트,"바타시올로, 모스카토 다스티 '보스크 들라 레이'",이탈리아,바타시올로 Batasiolo [Beni di Batasiolo],모스카토 (Moscato ) 100%,,750,5.0,6~8 ℃,"열대과일, 전통적인 크리스마스 디저트 파네토네(panettone) 등과 잘 어울린다.",,4.0,2.0,2.0,1.0,당도 바디 산도 
72,73,와인,레드,"바틱, 까베르네 프랑",슬로베니아,바틱 Batic,카베르네 프랑 (Cabernet Franc) 100%,,750,13.5,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 훈제오리, 파스타, 다양한 치즈 등과 잘 어울린다.",,1.0,4.0,4.0,2.0,바디 산도 타닌 
73,74,와인,화이트,"바틱, 레불라",슬로베니아,바틱 Batic,레불라 (Rebula),,750,13.5,11~12 ℃,"흰살생선, 샐러드, 건육, 하몽, 프로슈토, 동남아요리, 파스타 등과 잘 어울린다.",,1.0,3.0,3.0,1.0,바디 산도 
74,75,와인,레드,"발데리즈, 발데리즈",스페인,발데리즈 Valderiz,템프라니요 (Tempranillo) 100%,,750,14.5,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",,1.0,3.0,4.0,4.0,바디 산도 타닌 
75,76,와인,레드,"베리 브라더스 & 러드, 뽀이약",프랑스,베리 브라더스 & 러드 Berry Bros. & Rudd,"카베르네 소비뇽 (Cabernet Sauvignon) 70%, 메를로 (Merlot) 30%",,750,13.0,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1.0,3.0,4.0,4.0,바디 산도 타닌 
